GEONAME,LNTITLE,GEOID,CVAP_EST
"Stafford County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20185,0
"Stafford County, Kansas",White Alone,05000US20185,2860
"Stafford County, Kansas",American Indian or Alaska Native and White,05000US20185,20
"Stafford County, Kansas",Asian and White,05000US20185,4
"Stafford County, Kansas",Black or African American and White,05000US20185,0
"Stafford County, Kansas",American Indian or Alaska Native and Black or African American,05000US20185,0
"Stafford County, Kansas",Remainder of Two or More Race Responses,05000US20185,10
"Stafford County, Kansas",Hispanic or Latino,05000US20185,155
"Stanton County, Kansas",Total,05000US20187,1330
"Stanton County, Kansas",Not Hispanic or Latino,05000US20187,1095
"Stanton County, Kansas",American Indian or Alaska Native Alone,05000US20187,4
"Stanton County, Kansas",Asian Alone,05000US20187,0
"Stanton County, Kansas",Black or African American Alone,05000US20187,20
"Stanton County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20187,0
"Stanton County, Kansas",White Alone,05000US20187,1050
"Stanton County, Kansas",American Indian or Alaska Native and White,05000US20187,4
"Stanton County, Kansas",Asian and White,05000US20187,0
"Stanton County, Kansas",Black or African American and White,05000US20187,20
"Stanton County, Kansas",American Indian or Alaska Native and Black or African American,05000US20187,0
"Stanton County, Kansas",Remainder of Two or More Race Responses,05000US20187,0
"Stanton County, Kansas",Hispanic or Latino,05000US20187,240
"Stevens County, Kansas",Total,05000US20189,3295
"Stevens County, Kansas",Not Hispanic or Latino,05000US20189,2740
"Stevens County, Kansas",American Indian or Alaska Native Alone,05000US20189,25
"Stevens County, Kansas",Asian Alone,05000US20189,10
"Stevens County, Kansas",Black or African American Alone,05000US20189,4
"Stevens County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20189,10
"Stevens County, Kansas",White Alone,05000US20189,2670
"Stevens County, Kansas",American Indian or Alaska Native and White,05000US20189,20
"Stevens County, Kansas",Asian and White,05000US20189,0
"Stevens County, Kansas",Black or African American and White,05000US20189,0
"Stevens County, Kansas",American Indian or Alaska Native and Black or African American,05000US20189,0
"Stevens County, Kansas",Remainder of Two or More Race Responses,05000US20189,0
"Stevens County, Kansas",Hispanic or Latino,05000US20189,560
"Sumner County, Kansas",Total,05000US20191,17520
"Sumner County, Kansas",Not Hispanic or Latino,05000US20191,16790
"Sumner County, Kansas",American Indian or Alaska Native Alone,05000US20191,225
"Sumner County, Kansas",Asian Alone,05000US20191,55
"Sumner County, Kansas",Black or African American Alone,05000US20191,165
"Sumner County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20191,0
"Sumner County, Kansas",White Alone,05000US20191,16145
"Sumner County, Kansas",American Indian or Alaska Native and White,05000US20191,160
"Sumner County, Kansas",Asian and White,05000US20191,35
"Sumner County, Kansas",Black or African American and White,05000US20191,0
"Sumner County, Kansas",American Indian or Alaska Native and Black or African American,05000US20191,10
"Sumner County, Kansas",Remainder of Two or More Race Responses,05000US20191,0
"Sumner County, Kansas",Hispanic or Latino,05000US20191,730
"Thomas County, Kansas",Total,05000US20193,6025
"Thomas County, Kansas",Not Hispanic or Latino,05000US20193,5840
"Thomas County, Kansas",American Indian or Alaska Native Alone,05000US20193,65
"Thomas County, Kansas",Asian Alone,05000US20193,25
"Thomas County, Kansas",Black or African American Alone,05000US20193,55
"Thomas County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20193,4
"Thomas County, Kansas",White Alone,05000US20193,5645
"Thomas County, Kansas",American Indian or Alaska Native and White,05000US20193,10
"Thomas County, Kansas",Asian and White,05000US20193,30
"Thomas County, Kansas",Black or African American and White,05000US20193,0
"Thomas County, Kansas",American Indian or Alaska Native and Black or African American,05000US20193,0
"Thomas County, Kansas",Remainder of Two or More Race Responses,05000US20193,0
"Thomas County, Kansas",Hispanic or Latino,05000US20193,185
"Trego County, Kansas",Total,05000US20195,2375
"Trego County, Kansas",Not Hispanic or Latino,05000US20195,2365
"Trego County, Kansas",American Indian or Alaska Native Alone,05000US20195,25
"Trego County, Kansas",Asian Alone,05000US20195,15
"Trego County, Kansas",Black or African American Alone,05000US20195,4
"Trego County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20195,0
"Trego County, Kansas",White Alone,05000US20195,2305
"Trego County, Kansas",American Indian or Alaska Native and White,05000US20195,20
"Trego County, Kansas",Asian and White,05000US20195,0
"Trego County, Kansas",Black or African American and White,05000US20195,0
"Trego County, Kansas",American Indian or Alaska Native and Black or African American,05000US20195,0
"Trego County, Kansas",Remainder of Two or More Race Responses,05000US20195,0
"Trego County, Kansas",Hispanic or Latino,05000US20195,15
"Wabaunsee County, Kansas",Total,05000US20197,5180
"Wabaunsee County, Kansas",Not Hispanic or Latino,05000US20197,5065
"Wabaunsee County, Kansas",American Indian or Alaska Native Alone,05000US20197,20
"Wabaunsee County, Kansas",Asian Alone,05000US20197,10
"Wabaunsee County, Kansas",Black or African American Alone,05000US20197,10
"Wabaunsee County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20197,0
"Wabaunsee County, Kansas",White Alone,05000US20197,4960
"Wabaunsee County, Kansas",American Indian or Alaska Native and White,05000US20197,55
"Wabaunsee County, Kansas",Asian and White,05000US20197,0
"Wabaunsee County, Kansas",Black or African American and White,05000US20197,4
"Wabaunsee County, Kansas",American Indian or Alaska Native and Black or African American,05000US20197,0
"Wabaunsee County, Kansas",Remainder of Two or More Race Responses,05000US20197,4
"Wabaunsee County, Kansas",Hispanic or Latino,05000US20197,115
"Wallace County, Kansas",Total,05000US20199,1130
"Wallace County, Kansas",Not Hispanic or Latino,05000US20199,1095
"Wallace County, Kansas",American Indian or Alaska Native Alone,05000US20199,0
"Wallace County, Kansas",Asian Alone,05000US20199,4
"Wallace County, Kansas",Black or African American Alone,05000US20199,0
"Wallace County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20199,0
"Wallace County, Kansas",White Alone,05000US20199,1090
"Wallace County, Kansas",American Indian or Alaska Native and White,05000US20199,4
"Wallace County, Kansas",Asian and White,05000US20199,0
"Wallace County, Kansas",Black or African American and White,05000US20199,0
"Wallace County, Kansas",American Indian or Alaska Native and Black or African American,05000US20199,0
"Wallace County, Kansas",Remainder of Two or More Race Responses,05000US20199,0
"Wallace County, Kansas",Hispanic or Latino,05000US20199,35
"Washington County, Kansas",Total,05000US20201,4230
"Washington County, Kansas",Not Hispanic or Latino,05000US20201,4205
"Washington County, Kansas",American Indian or Alaska Native Alone,05000US20201,15
"Washington County, Kansas",Asian Alone,05000US20201,0
"Washington County, Kansas",Black or African American Alone,05000US20201,10
"Washington County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20201,0
"Washington County, Kansas",White Alone,05000US20201,4170
"Washington County, Kansas",American Indian or Alaska Native and White,05000US20201,10
"Washington County, Kansas",Asian and White,05000US20201,0
"Washington County, Kansas",Black or African American and White,05000US20201,0
"Washington County, Kansas",American Indian or Alaska Native and Black or African American,05000US20201,0
"Washington County, Kansas",Remainder of Two or More Race Responses,05000US20201,0
"Washington County, Kansas",Hispanic or Latino,05000US20201,20
"Wichita County, Kansas",Total,05000US20203,1315
"Wichita County, Kansas",Not Hispanic or Latino,05000US20203,1125
"Wichita County, Kansas",American Indian or Alaska Native Alone,05000US20203,10
"Wichita County, Kansas",Asian Alone,05000US20203,0
"Wichita County, Kansas",Black or African American Alone,05000US20203,10
"Wichita County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20203,0
"Wichita County, Kansas",White Alone,05000US20203,1095
"Wichita County, Kansas",American Indian or Alaska Native and White,05000US20203,4
"Wichita County, Kansas",Asian and White,05000US20203,4
"Wichita County, Kansas",Black or African American and White,05000US20203,10
"Wichita County, Kansas",American Indian or Alaska Native and Black or African American,05000US20203,0
"Wichita County, Kansas",Remainder of Two or More Race Responses,05000US20203,0
"Wichita County, Kansas",Hispanic or Latino,05000US20203,185
"Wilson County, Kansas",Total,05000US20205,6775
"Wilson County, Kansas",Not Hispanic or Latino,05000US20205,6645
"Wilson County, Kansas",American Indian or Alaska Native Alone,05000US20205,35
"Wilson County, Kansas",Asian Alone,05000US20205,45
"Wilson County, Kansas",Black or African American Alone,05000US20205,45
"Wilson County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20205,0
"Wilson County, Kansas",White Alone,05000US20205,6395
"Wilson County, Kansas",American Indian or Alaska Native and White,05000US20205,115
"Wilson County, Kansas",Asian and White,05000US20205,0
"Wilson County, Kansas",Black or African American and White,05000US20205,4
"Wilson County, Kansas",American Indian or Alaska Native and Black or African American,05000US20205,0
"Wilson County, Kansas",Remainder of Two or More Race Responses,05000US20205,4
"Wilson County, Kansas",Hispanic or Latino,05000US20205,130
"Woodson County, Kansas",Total,05000US20207,2485
"Woodson County, Kansas",Not Hispanic or Latino,05000US20207,2445
"Woodson County, Kansas",American Indian or Alaska Native Alone,05000US20207,15
"Woodson County, Kansas",Asian Alone,05000US20207,4
"Woodson County, Kansas",Black or African American Alone,05000US20207,4
"Woodson County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20207,0
"Woodson County, Kansas",White Alone,05000US20207,2365
"Woodson County, Kansas",American Indian or Alaska Native and White,05000US20207,40
"Woodson County, Kansas",Asian and White,05000US20207,10
"Woodson County, Kansas",Black or African American and White,05000US20207,4
"Woodson County, Kansas",American Indian or Alaska Native and Black or African American,05000US20207,0
"Woodson County, Kansas",Remainder of Two or More Race Responses,05000US20207,0
"Woodson County, Kansas",Hispanic or Latino,05000US20207,45
"Wyandotte County, Kansas",Total,05000US20209,97900
"Wyandotte County, Kansas",Not Hispanic or Latino,05000US20209,85585
"Wyandotte County, Kansas",American Indian or Alaska Native Alone,05000US20209,560
"Wyandotte County, Kansas",Asian Alone,05000US20209,1395
"Wyandotte County, Kansas",Black or African American Alone,05000US20209,27000
"Wyandotte County, Kansas",Native Hawaiian or Other Pacific Islander Alone,05000US20209,40
"Wyandotte County, Kansas",White Alone,05000US20209,54465
"Wyandotte County, Kansas",American Indian or Alaska Native and White,05000US20209,720
"Wyandotte County, Kansas",Asian and White,05000US20209,280
"Wyandotte County, Kansas",Black or African American and White,05000US20209,705
"Wyandotte County, Kansas",American Indian or Alaska Native and Black or African American,05000US20209,145
"Wyandotte County, Kansas",Remainder of Two or More Race Responses,05000US20209,275
"Wyandotte County, Kansas",Hispanic or Latino,05000US20209,12315
"Adair County, Kentucky",Total,05000US21001,15095
"Adair County, Kentucky",Not Hispanic or Latino,05000US21001,14945
"Adair County, Kentucky",American Indian or Alaska Native Alone,05000US21001,25
"Adair County, Kentucky",Asian Alone,05000US21001,30
"Adair County, Kentucky",Black or African American Alone,05000US21001,530
"Adair County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21001,0
"Adair County, Kentucky",White Alone,05000US21001,14205
"Adair County, Kentucky",American Indian or Alaska Native and White,05000US21001,90
"Adair County, Kentucky",Asian and White,05000US21001,10
"Adair County, Kentucky",Black or African American and White,05000US21001,50
"Adair County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21001,0
"Adair County, Kentucky",Remainder of Two or More Race Responses,05000US21001,0
"Adair County, Kentucky",Hispanic or Latino,05000US21001,150
"Allen County, Kentucky",Total,05000US21003,15375
"Allen County, Kentucky",Not Hispanic or Latino,05000US21003,15255
"Allen County, Kentucky",American Indian or Alaska Native Alone,05000US21003,0
"Allen County, Kentucky",Asian Alone,05000US21003,20
"Allen County, Kentucky",Black or African American Alone,05000US21003,210
"Allen County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21003,0
"Allen County, Kentucky",White Alone,05000US21003,14915
"Allen County, Kentucky",American Indian or Alaska Native and White,05000US21003,55
"Allen County, Kentucky",Asian and White,05000US21003,0
"Allen County, Kentucky",Black or African American and White,05000US21003,60
"Allen County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21003,0
"Allen County, Kentucky",Remainder of Two or More Race Responses,05000US21003,0
"Allen County, Kentucky",Hispanic or Latino,05000US21003,120
"Anderson County, Kentucky",Total,05000US21005,16380
"Anderson County, Kentucky",Not Hispanic or Latino,05000US21005,16285
"Anderson County, Kentucky",American Indian or Alaska Native Alone,05000US21005,0
"Anderson County, Kentucky",Asian Alone,05000US21005,0
"Anderson County, Kentucky",Black or African American Alone,05000US21005,375
"Anderson County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21005,0
"Anderson County, Kentucky",White Alone,05000US21005,15760
"Anderson County, Kentucky",American Indian or Alaska Native and White,05000US21005,110
"Anderson County, Kentucky",Asian and White,05000US21005,0
"Anderson County, Kentucky",Black or African American and White,05000US21005,40
"Anderson County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21005,0
"Anderson County, Kentucky",Remainder of Two or More Race Responses,05000US21005,0
"Anderson County, Kentucky",Hispanic or Latino,05000US21005,95
"Ballard County, Kentucky",Total,05000US21007,6385
"Ballard County, Kentucky",Not Hispanic or Latino,05000US21007,6330
"Ballard County, Kentucky",American Indian or Alaska Native Alone,05000US21007,25
"Ballard County, Kentucky",Asian Alone,05000US21007,25
"Ballard County, Kentucky",Black or African American Alone,05000US21007,205
"Ballard County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21007,0
"Ballard County, Kentucky",White Alone,05000US21007,6035
"Ballard County, Kentucky",American Indian or Alaska Native and White,05000US21007,25
"Ballard County, Kentucky",Asian and White,05000US21007,0
"Ballard County, Kentucky",Black or African American and White,05000US21007,15
"Ballard County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21007,0
"Ballard County, Kentucky",Remainder of Two or More Race Responses,05000US21007,4
"Ballard County, Kentucky",Hispanic or Latino,05000US21007,55
"Barren County, Kentucky",Total,05000US21009,32445
"Barren County, Kentucky",Not Hispanic or Latino,05000US21009,32105
"Barren County, Kentucky",American Indian or Alaska Native Alone,05000US21009,70
"Barren County, Kentucky",Asian Alone,05000US21009,15
"Barren County, Kentucky",Black or African American Alone,05000US21009,1320
"Barren County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21009,0
"Barren County, Kentucky",White Alone,05000US21009,30450
"Barren County, Kentucky",American Indian or Alaska Native and White,05000US21009,100
"Barren County, Kentucky",Asian and White,05000US21009,45
"Barren County, Kentucky",Black or African American and White,05000US21009,60
"Barren County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21009,4
"Barren County, Kentucky",Remainder of Two or More Race Responses,05000US21009,45
"Barren County, Kentucky",Hispanic or Latino,05000US21009,340
"Bath County, Kentucky",Total,05000US21011,8970
"Bath County, Kentucky",Not Hispanic or Latino,05000US21011,8965
"Bath County, Kentucky",American Indian or Alaska Native Alone,05000US21011,0
"Bath County, Kentucky",Asian Alone,05000US21011,10
"Bath County, Kentucky",Black or African American Alone,05000US21011,140
"Bath County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21011,0
"Bath County, Kentucky",White Alone,05000US21011,8740
"Bath County, Kentucky",American Indian or Alaska Native and White,05000US21011,30
"Bath County, Kentucky",Asian and White,05000US21011,30
"Bath County, Kentucky",Black or African American and White,05000US21011,4
"Bath County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21011,4
"Bath County, Kentucky",Remainder of Two or More Race Responses,05000US21011,10
"Bath County, Kentucky",Hispanic or Latino,05000US21011,4
"Bell County, Kentucky",Total,05000US21013,21640
"Bell County, Kentucky",Not Hispanic or Latino,05000US21013,21585
"Bell County, Kentucky",American Indian or Alaska Native Alone,05000US21013,10
"Bell County, Kentucky",Asian Alone,05000US21013,55
"Bell County, Kentucky",Black or African American Alone,05000US21013,740
"Bell County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21013,0
"Bell County, Kentucky",White Alone,05000US21013,20655
"Bell County, Kentucky",American Indian or Alaska Native and White,05000US21013,75
"Bell County, Kentucky",Asian and White,05000US21013,10
"Bell County, Kentucky",Black or African American and White,05000US21013,20
"Bell County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21013,4
"Bell County, Kentucky",Remainder of Two or More Race Responses,05000US21013,20
"Bell County, Kentucky",Hispanic or Latino,05000US21013,60
"Boone County, Kentucky",Total,05000US21015,88505
"Boone County, Kentucky",Not Hispanic or Latino,05000US21015,86760
"Boone County, Kentucky",American Indian or Alaska Native Alone,05000US21015,105
"Boone County, Kentucky",Asian Alone,05000US21015,1155
"Boone County, Kentucky",Black or African American Alone,05000US21015,2485
"Boone County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21015,0
"Boone County, Kentucky",White Alone,05000US21015,82160
"Boone County, Kentucky",American Indian or Alaska Native and White,05000US21015,330
"Boone County, Kentucky",Asian and White,05000US21015,165
"Boone County, Kentucky",Black or African American and White,05000US21015,275
"Boone County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21015,0
"Boone County, Kentucky",Remainder of Two or More Race Responses,05000US21015,90
"Boone County, Kentucky",Hispanic or Latino,05000US21015,1740
"Bourbon County, Kentucky",Total,05000US21017,14690
"Bourbon County, Kentucky",Not Hispanic or Latino,05000US21017,14510
"Bourbon County, Kentucky",American Indian or Alaska Native Alone,05000US21017,0
"Bourbon County, Kentucky",Asian Alone,05000US21017,0
"Bourbon County, Kentucky",Black or African American Alone,05000US21017,995
"Bourbon County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21017,0
"Bourbon County, Kentucky",White Alone,05000US21017,13435
"Bourbon County, Kentucky",American Indian or Alaska Native and White,05000US21017,20
"Bourbon County, Kentucky",Asian and White,05000US21017,0
"Bourbon County, Kentucky",Black or African American and White,05000US21017,55
"Bourbon County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21017,0
"Bourbon County, Kentucky",Remainder of Two or More Race Responses,05000US21017,4
"Bourbon County, Kentucky",Hispanic or Latino,05000US21017,180
"Boyd County, Kentucky",Total,05000US21019,38205
"Boyd County, Kentucky",Not Hispanic or Latino,05000US21019,37765
"Boyd County, Kentucky",American Indian or Alaska Native Alone,05000US21019,60
"Boyd County, Kentucky",Asian Alone,05000US21019,140
"Boyd County, Kentucky",Black or African American Alone,05000US21019,1120
"Boyd County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21019,0
"Boyd County, Kentucky",White Alone,05000US21019,36000
"Boyd County, Kentucky",American Indian or Alaska Native and White,05000US21019,215
"Boyd County, Kentucky",Asian and White,05000US21019,100
"Boyd County, Kentucky",Black or African American and White,05000US21019,115
"Boyd County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21019,20
"Boyd County, Kentucky",Remainder of Two or More Race Responses,05000US21019,4
"Boyd County, Kentucky",Hispanic or Latino,05000US21019,440
"Boyle County, Kentucky",Total,05000US21021,23245
"Boyle County, Kentucky",Not Hispanic or Latino,05000US21021,22900
"Boyle County, Kentucky",American Indian or Alaska Native Alone,05000US21021,55
"Boyle County, Kentucky",Asian Alone,05000US21021,100
"Boyle County, Kentucky",Black or African American Alone,05000US21021,1655
"Boyle County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21021,0
"Boyle County, Kentucky",White Alone,05000US21021,20655
"Boyle County, Kentucky",American Indian or Alaska Native and White,05000US21021,120
"Boyle County, Kentucky",Asian and White,05000US21021,35
"Boyle County, Kentucky",Black or African American and White,05000US21021,190
"Boyle County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21021,30
"Boyle County, Kentucky",Remainder of Two or More Race Responses,05000US21021,65
"Boyle County, Kentucky",Hispanic or Latino,05000US21021,345
"Bracken County, Kentucky",Total,05000US21023,6310
"Bracken County, Kentucky",Not Hispanic or Latino,05000US21023,6280
"Bracken County, Kentucky",American Indian or Alaska Native Alone,05000US21023,0
"Bracken County, Kentucky",Asian Alone,05000US21023,10
"Bracken County, Kentucky",Black or African American Alone,05000US21023,4
"Bracken County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21023,0
"Bracken County, Kentucky",White Alone,05000US21023,6265
"Bracken County, Kentucky",American Indian or Alaska Native and White,05000US21023,0
"Bracken County, Kentucky",Asian and White,05000US21023,4
"Bracken County, Kentucky",Black or African American and White,05000US21023,0
"Bracken County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21023,0
"Bracken County, Kentucky",Remainder of Two or More Race Responses,05000US21023,4
"Bracken County, Kentucky",Hispanic or Latino,05000US21023,30
"Breathitt County, Kentucky",Total,05000US21025,10550
"Breathitt County, Kentucky",Not Hispanic or Latino,05000US21025,10500
"Breathitt County, Kentucky",American Indian or Alaska Native Alone,05000US21025,15
"Breathitt County, Kentucky",Asian Alone,05000US21025,20
"Breathitt County, Kentucky",Black or African American Alone,05000US21025,50
"Breathitt County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21025,0
"Breathitt County, Kentucky",White Alone,05000US21025,10345
"Breathitt County, Kentucky",American Indian or Alaska Native and White,05000US21025,15
"Breathitt County, Kentucky",Asian and White,05000US21025,4
"Breathitt County, Kentucky",Black or African American and White,05000US21025,40
"Breathitt County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21025,4
"Breathitt County, Kentucky",Remainder of Two or More Race Responses,05000US21025,0
"Breathitt County, Kentucky",Hispanic or Latino,05000US21025,50
"Breckinridge County, Kentucky",Total,05000US21027,15295
"Breckinridge County, Kentucky",Not Hispanic or Latino,05000US21027,15215
"Breckinridge County, Kentucky",American Indian or Alaska Native Alone,05000US21027,0
"Breckinridge County, Kentucky",Asian Alone,05000US21027,75
"Breckinridge County, Kentucky",Black or African American Alone,05000US21027,280
"Breckinridge County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21027,0
"Breckinridge County, Kentucky",White Alone,05000US21027,14645
"Breckinridge County, Kentucky",American Indian or Alaska Native and White,05000US21027,155
"Breckinridge County, Kentucky",Asian and White,05000US21027,15
"Breckinridge County, Kentucky",Black or African American and White,05000US21027,20
"Breckinridge County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21027,10
"Breckinridge County, Kentucky",Remainder of Two or More Race Responses,05000US21027,15
"Breckinridge County, Kentucky",Hispanic or Latino,05000US21027,80
"Bullitt County, Kentucky",Total,05000US21029,59470
"Bullitt County, Kentucky",Not Hispanic or Latino,05000US21029,58775
"Bullitt County, Kentucky",American Indian or Alaska Native Alone,05000US21029,95
"Bullitt County, Kentucky",Asian Alone,05000US21029,325
"Bullitt County, Kentucky",Black or African American Alone,05000US21029,375
"Bullitt County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21029,95
"Bullitt County, Kentucky",White Alone,05000US21029,57205
"Bullitt County, Kentucky",American Indian or Alaska Native and White,05000US21029,450
"Bullitt County, Kentucky",Asian and White,05000US21029,50
"Bullitt County, Kentucky",Black or African American and White,05000US21029,145
"Bullitt County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21029,0
"Bullitt County, Kentucky",Remainder of Two or More Race Responses,05000US21029,35
"Bullitt County, Kentucky",Hispanic or Latino,05000US21029,700
"Butler County, Kentucky",Total,05000US21031,9780
"Butler County, Kentucky",Not Hispanic or Latino,05000US21031,9620
"Butler County, Kentucky",American Indian or Alaska Native Alone,05000US21031,35
"Butler County, Kentucky",Asian Alone,05000US21031,0
"Butler County, Kentucky",Black or African American Alone,05000US21031,40
"Butler County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21031,0
"Butler County, Kentucky",White Alone,05000US21031,9460
"Butler County, Kentucky",American Indian or Alaska Native and White,05000US21031,80
"Butler County, Kentucky",Asian and White,05000US21031,0
"Butler County, Kentucky",Black or African American and White,05000US21031,4
"Butler County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21031,0
"Butler County, Kentucky",Remainder of Two or More Race Responses,05000US21031,0
"Butler County, Kentucky",Hispanic or Latino,05000US21031,160
"Caldwell County, Kentucky",Total,05000US21033,9845
"Caldwell County, Kentucky",Not Hispanic or Latino,05000US21033,9785
"Caldwell County, Kentucky",American Indian or Alaska Native Alone,05000US21033,0
"Caldwell County, Kentucky",Asian Alone,05000US21033,0
"Caldwell County, Kentucky",Black or African American Alone,05000US21033,530
"Caldwell County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21033,25
"Caldwell County, Kentucky",White Alone,05000US21033,9140
"Caldwell County, Kentucky",American Indian or Alaska Native and White,05000US21033,70
"Caldwell County, Kentucky",Asian and White,05000US21033,0
"Caldwell County, Kentucky",Black or African American and White,05000US21033,15
"Caldwell County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21033,0
"Caldwell County, Kentucky",Remainder of Two or More Race Responses,05000US21033,0
"Caldwell County, Kentucky",Hispanic or Latino,05000US21033,65
"Calloway County, Kentucky",Total,05000US21035,29890
"Calloway County, Kentucky",Not Hispanic or Latino,05000US21035,29510
"Calloway County, Kentucky",American Indian or Alaska Native Alone,05000US21035,100
"Calloway County, Kentucky",Asian Alone,05000US21035,250
"Calloway County, Kentucky",Black or African American Alone,05000US21035,1135
"Calloway County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21035,0
"Calloway County, Kentucky",White Alone,05000US21035,27845
"Calloway County, Kentucky",American Indian or Alaska Native and White,05000US21035,50
"Calloway County, Kentucky",Asian and White,05000US21035,0
"Calloway County, Kentucky",Black or African American and White,05000US21035,115
"Calloway County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21035,15
"Calloway County, Kentucky",Remainder of Two or More Race Responses,05000US21035,0
"Calloway County, Kentucky",Hispanic or Latino,05000US21035,380
"Campbell County, Kentucky",Total,05000US21037,70470
"Campbell County, Kentucky",Not Hispanic or Latino,05000US21037,69575
"Campbell County, Kentucky",American Indian or Alaska Native Alone,05000US21037,65
"Campbell County, Kentucky",Asian Alone,05000US21037,275
"Campbell County, Kentucky",Black or African American Alone,05000US21037,1755
"Campbell County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21037,0
"Campbell County, Kentucky",White Alone,05000US21037,66910
"Campbell County, Kentucky",American Indian or Alaska Native and White,05000US21037,250
"Campbell County, Kentucky",Asian and White,05000US21037,150
"Campbell County, Kentucky",Black or African American and White,05000US21037,110
"Campbell County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21037,25
"Campbell County, Kentucky",Remainder of Two or More Race Responses,05000US21037,30
"Campbell County, Kentucky",Hispanic or Latino,05000US21037,900
"Carlisle County, Kentucky",Total,05000US21039,3845
"Carlisle County, Kentucky",Not Hispanic or Latino,05000US21039,3785
"Carlisle County, Kentucky",American Indian or Alaska Native Alone,05000US21039,15
"Carlisle County, Kentucky",Asian Alone,05000US21039,0
"Carlisle County, Kentucky",Black or African American Alone,05000US21039,90
"Carlisle County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21039,0
"Carlisle County, Kentucky",White Alone,05000US21039,3670
"Carlisle County, Kentucky",American Indian or Alaska Native and White,05000US21039,10
"Carlisle County, Kentucky",Asian and White,05000US21039,0
"Carlisle County, Kentucky",Black or African American and White,05000US21039,0
"Carlisle County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21039,0
"Carlisle County, Kentucky",Remainder of Two or More Race Responses,05000US21039,0
"Carlisle County, Kentucky",Hispanic or Latino,05000US21039,60
"Carroll County, Kentucky",Total,05000US21041,7770
"Carroll County, Kentucky",Not Hispanic or Latino,05000US21041,7640
"Carroll County, Kentucky",American Indian or Alaska Native Alone,05000US21041,15
"Carroll County, Kentucky",Asian Alone,05000US21041,35
"Carroll County, Kentucky",Black or African American Alone,05000US21041,185
"Carroll County, Kentucky",Native Hawaiian or Other Pacific Islander Alone,05000US21041,0
"Carroll County, Kentucky",White Alone,05000US21041,7340
"Carroll County, Kentucky",American Indian or Alaska Native and White,05000US21041,65
"Carroll County, Kentucky",Asian and White,05000US21041,4
"Carroll County, Kentucky",Black or African American and White,05000US21041,0
"Carroll County, Kentucky",American Indian or Alaska Native and Black or African American,05000US21041,0
